state,x,y
Andhra Pradesh,-140,-197
Arunachal Pradesh,265,190
Assam,225,140
Bihar,75,100
Chhattisgarh,-40,-10
Goa,-230,-175
Gujarat,-300,20
Haryana,-170,200
Himachal Pradesh,-160,275
Jharkhand,35,60
Karnataka,-200,-200
Kerala,-175,-300
Madhya Pradesh,-130,20
Maharashtra,-190,-80
Manipur,267,90
Meghalaya,195,110
Mizoram,250,50
Nagaland,275,140
Odisha,35,-19
Punjab,-190,230
Rajasthan,-280,110
Sikkim,136,158
Tamil Nadu,-140,-300
Telangana,-110,-110
Tripura,210,60
Uttar Pradesh,-100,150
Uttarakhand,-110,225
West Bengal,93,40
Andaman And Nicobar Islands,235,-310
Chandigarh,6,130
Daman And Diu,-260,-40
Delhi,-148,180
Jammu And Kashmir,-180,350
Ladakh,-195,330
Lakshadweep,-285,-270
Puducherry,-90,-270
